,khaleed,diggie,kaja,kadita,gloo,bruno,paquito,faramis,wanwan,x.borg,mathilda,joy,yve,fredrinn,terizla,karrie,irithel,novaria,lylia,franco,akai,yu zhong,edith,beatrix,baxia,chou,hayabusa,claude,fanny,valentina,lolita,ruby,pharsa,melissa,ling,arlott,minotaur,brody,lancelot,grock,khufra,martis,lapu-lapu,rafaela,benedetta,harith,angela,uranus,N_games,Total_WR
mathilda,0.625,0.33333334,0.65,0.25,0.6666667,0.47058824,0.5,0.4642857,0.5882353,0.6666667,,0.5555556,0.22222222,0.51785713,0.6486486,0.6666667,0.5862069,0.65,0.48387095,0.6666667,0.6333333,0.6,0.44117647,0.6111111,0.54285717,0.33333334,0.33333334,0.45454547,0.45454547,0.57575756,0.16666667,0.6,0.33333334,0.33333334,0.0,0.53846157,0.61904764,0.5714286,0.5714286,0.64285713,0.5555556,0.5416667,0.4,0.6,0.27272728,0.42857143,0.7096774,0.5,194.0,0.53608245
joy,0.125,0.4,0.48076922,0.42857143,0.53125,0.4848485,0.5,0.61538464,0.44444445,1.0,0.44444445,,0.5277778,0.54545456,0.5,0.6097561,0.42105263,0.36666667,0.5714286,0.46938777,0.625,0.5714286,0.54545456,0.5322581,0.3125,0.44444445,0.5714286,0.58181816,0.7058824,0.5,0.4117647,0.46153846,0.6666667,0.44444445,0.73333335,0.46296296,0.7777778,0.5,0.5833333,0.61290324,0.7,0.5740741,0.5675676,0.6666667,0.6666667,0.61538464,0.6,0.6666667,327.0,0.5321101
yve,0.6,0.55,0.3888889,0.5102041,0.47692308,0.33333334,0.42424244,0.47826087,0.26086956,0.5555556,0.7777778,0.4722222,,0.51428574,0.57894737,0.5479452,0.5555556,0.53846157,0.4074074,0.62857145,0.46153846,0.4651163,0.5652174,0.5673077,0.4827586,0.5925926,0.5,0.5233645,0.3888889,0.5597826,0.45454547,0.46153846,0.53097343,0.49019608,0.60714287,0.5185185,0.5625,0.6,0.61538464,0.57608694,0.53061223,0.5441176,0.5365854,0.0,0.5945946,0.5263158,0.6,0.6666667,488.0,0.52868855
fredrinn,0.6,0.5862069,0.4556962,0.53061223,0.4676259,0.5425532,0.4848485,0.45652175,0.5319149,0.5813953,0.48214287,0.45454547,0.4857143,,0.53296703,0.53333336,0.48623854,0.53846157,0.5151515,0.36486486,0.44871795,0.46938777,0.5,0.5144231,0.56790125,0.5234375,0.2857143,0.5026178,0.56,0.5536232,0.53846157,0.59375,0.53205127,0.4623656,0.5588235,0.53125,0.60714287,0.559633,0.5153374,0.59006214,0.5283019,0.5492958,0.5703704,0.6666667,0.7209302,0.5555556,0.6111111,0.56,1138.0,0.52460456
terizla,0.46666667,0.25,0.52112675,0.27906978,0.4871795,0.3902439,0.5316456,0.5,0.44,0.3970588,0.35135135,0.5,0.42105263,0.46703297,,0.4893617,0.4883721,0.4814815,0.4651163,0.4871795,0.6,0.6184211,0.47058824,0.5411765,0.5421687,0.5555556,0.6666667,0.6097561,0.47058824,0.5448718,0.53846157,0.5,0.53846157,0.48,0.8181818,0.57377046,0.47727272,0.55737704,0.7111111,0.5714286,0.6666667,0.5060241,0.5625,0.6666667,0.29411766,0.625,0.65217394,0.54545456,560.0,0.51785713
karrie,0.4,0.53333336,0.34920636,0.5102041,0.4516129,0.33333334,0.42105263,0.42857143,0.53333336,0.2857143,0.33333334,0.3902439,0.4520548,0.46666667,0.5106383,,0.65,0.42307693,0.48,0.4117647,0.53846157,0.47692308,0.5555556,0.47058824,0.5151515,0.7027027,0.4090909,0.5913978,0.75,0.58181816,0.54545456,0.68,0.5555556,0.50980395,0.5,0.6557377,0.5263158,0.5,0.5135135,0.5753425,0.6617647,0.5689655,0.5185185,0.75,0.6363636,0.5714286,0.16666667,0.6,462.0,0.51731604
irithel,0.33333334,0.33333334,0.43589744,0.3846154,0.42857143,0.43925235,0.52380955,0.5,0.33333334,0.40625,0.41379312,0.57894737,0.44444445,0.51376146,0.5116279,0.35,,0.5633803,0.44117647,0.7894737,0.4651163,0.53571427,0.5232558,0.5797101,0.59016395,0.41304347,0.22222222,0.5064935,0.53333336,0.5294118,0.4,0.625,0.53125,0.45454547,0.5,0.5714286,0.3809524,0.6296296,0.7352941,0.4848485,0.53061223,0.4814815,0.71875,0.6,0.64285713,0.5,0.6,0.4,389.0,0.5141388
novaria,0.42857143,0.0,0.51428574,0.4,0.7692308,0.53846157,0.37209302,0.5,0.5,0.5416667,0.35,0.6333333,0.46153846,0.46153846,0.5185185,0.5769231,0.43661973,,0.43589744,0.46153846,0.5675676,0.5319149,0.5283019,0.4375,0.44230768,0.5,0.75,0.53571427,0.4,0.5064935,0.5714286,0.6363636,0.5714286,0.5,0.33333334,0.53846157,0.6315789,0.63461536,0.625,0.42553192,0.5925926,0.6122449,0.6666667,0.5217391,0.46666667,0.25,0.57894737,0.6296296,370.0,0.5135135
lylia,0.4,0.14285715,0.36666667,0.2857143,0.36363637,0.45945945,0.46666667,0.4814815,0.55,0.4,0.516129,0.42857143,0.5925926,0.4848485,0.53488374,0.52,0.5588235,0.5641026,,0.6923077,0.4516129,0.59090906,0.5641026,0.3125,0.64705884,0.6,0.25,0.47619048,0.71428573,0.46666667,0.33333334,0.75,0.39130434,0.75,0.5714286,0.54545456,0.30769232,0.6388889,0.6666667,0.6060606,0.6666667,0.5744681,0.7894737,0.29411766,0.6363636,0.6666667,0.53846157,0.14285715,238.0,0.5126051
franco,0.5,0.54545456,0.42857143,0.36,0.55172414,0.5833333,0.39285713,0.4827586,0.6,0.5,0.33333334,0.53061223,0.37142858,0.6351351,0.51282054,0.5882353,0.21052632,0.53846157,0.30769232,,0.44,0.3846154,0.36363637,0.5090909,0.5,0.6,0.33333334,0.48387095,0.6923077,0.61538464,0.45454547,0.5,0.53061223,0.46666667,0.6,0.4390244,0.42857143,0.625,0.4827586,0.5319149,0.59183675,0.46,0.60714287,1.0,0.6,0.3,0.54545456,0.6666667,295.0,0.5118644
akai,0.5,0.45454547,0.38181818,0.33333334,0.4827586,0.4047619,0.6,0.5,0.4074074,0.53333336,0.36666667,0.375,0.53846157,0.55128205,0.4,0.46153846,0.53488374,0.43243244,0.5483871,0.56,,0.44444445,0.54545456,0.515625,0.4878049,0.46666667,0.5833333,0.4074074,0.6315789,0.525,0.5217391,0.6,0.5692308,0.6333333,0.44444445,0.6086956,0.4871795,0.58536583,0.47727272,0.6086956,0.6333333,0.5,0.53061223,0.625,0.4347826,0.8888889,0.375,0.33333334,388.0,0.507732
yu zhong,0.2,0.6666667,0.6,0.5588235,0.46875,0.5135135,0.4883721,0.5365854,0.45833334,0.52380955,0.4,0.42857143,0.53488374,0.53061223,0.38157895,0.52307695,0.4642857,0.4680851,0.4090909,0.61538464,0.5555556,,0.5609756,0.6212121,0.38235295,0.47916666,0.4,0.46666667,0.6666667,0.5934959,0.47826087,0.5833333,0.36144578,0.55172414,0.33333334,0.5423729,0.5217391,0.40384614,0.62068963,0.51785713,0.52380955,0.56060606,0.50666666,0.54545456,0.53125,0.46666667,0.42105263,0.73333335,424.0,0.5070755
edith,0.2,0.33333334,0.3939394,0.375,0.42857143,0.43939394,0.5849057,0.37777779,0.46153846,0.5,0.5588235,0.45454547,0.4347826,0.5,0.5294118,0.44444445,0.47674417,0.4716981,0.43589744,0.6363636,0.45454547,0.4390244,0.5,0.3962264,0.40983605,0.44680852,0.5555556,0.56666666,0.6315789,0.54304636,0.7692308,0.3,0.5681818,0.61538464,0.5,0.51724136,0.64705884,0.7446808,0.66,0.46551725,0.5652174,0.56164384,0.5862069,0.4827586,0.42857143,0.42857143,0.59090906,0.56,427.0,0.5058548
beatrix,0.5263158,0.5,0.44230768,0.3272727,0.52,0.6296296,0.50877196,0.47727272,0.46666667,0.5263158,0.3888889,0.46774194,0.43269232,0.48557693,0.45882353,0.5294118,0.42028984,0.5625,0.6875,0.4909091,0.484375,0.37878788,0.6037736,,0.5272727,0.52,0.7058824,0.46052632,0.516129,0.5810056,0.4722222,0.33333334,0.4318182,0.53846157,0.53333336,0.5319149,0.78125,0.44660193,0.5365854,0.56989247,0.4318182,0.51960784,0.43373495,0.6,0.64102566,0.56,0.5897436,0.6585366,694.0,0.5057637
baxia,0.25,0.0,0.4878049,0.3888889,0.54545456,0.4375,0.33333334,0.46666667,0.5652174,0.4375,0.45714286,0.6875,0.51724136,0.43209878,0.45783132,0.4848485,0.40983605,0.5576923,0.3529412,0.5,0.5121951,0.61764705,0.59016395,0.47272727,0.5,0.6060606,0.9,0.66071427,0.5833333,0.47933885,0.625,0.5,0.59090906,0.72727275,0.0,0.5,0.41666666,0.5,0.7307692,0.51428574,0.5,0.5322581,0.61538464,0.42857143,0.42857143,0.5555556,0.6097561,0.8,376.0,0.5053192
chou,0.3,0.6666667,0.44444445,0.5416667,0.5294118,0.3846154,0.42857143,0.5813953,0.44444445,0.33333334,0.6666667,0.5555556,0.4074074,0.4765625,0.44444445,0.2972973,0.5869565,0.5,0.4,0.4,0.53333336,0.5208333,0.5531915,0.48,0.3939394,,0.16666667,0.43396226,0.35,0.51304346,0.5652174,0.54545456,0.5135135,0.75,0.7,0.5102041,0.5,0.53488374,0.425,0.47457626,0.5483871,0.6037736,0.5714286,0.41666666,0.6875,0.5833333,0.73333335,0.75,369.0,0.501355
hayabusa,1.0,0.6,0.45,0.3,0.53333336,0.25,0.3,0.25,0.53846157,0.5,0.6666667,0.42857143,0.5,0.71428573,0.33333334,0.59090906,0.7777778,0.25,0.75,0.6666667,0.41666666,0.6,0.44444445,0.29411766,0.1,0.8333333,,0.45833334,0.625,0.56666666,0.6,0.6,0.45454547,0.5714286,0.25,0.61538464,0.6,0.3,0.64705884,0.4,0.44444445,0.48,0.4,,0.5,1.0,0.25,0.75,138.0,0.5
claude,0.3809524,0.2,0.4408602,0.55172414,0.47457626,0.46666667,0.43283582,0.4680851,0.4107143,0.4375,0.54545456,0.4181818,0.47663552,0.4973822,0.3902439,0.40860215,0.4935065,0.4642857,0.52380955,0.516129,0.5925926,0.53333336,0.43333334,0.5394737,0.3392857,0.5660377,0.5416667,,0.39130434,0.45238096,0.5714286,0.72,0.6320755,0.50877196,0.5263158,0.47619048,0.5,0.5180723,0.59322035,0.53409094,0.52380955,0.5488722,0.57746476,0.35714287,0.516129,0.54545456,0.6363636,0.57894737,645.0,0.4992248
fanny,0.33333334,0.5,0.28,0.35714287,0.29411766,0.4375,0.55,0.35,0.72727275,0.33333334,0.54545456,0.29411766,0.6111111,0.44,0.5294118,0.25,0.46666667,0.6,0.2857143,0.30769232,0.36842105,0.33333334,0.36842105,0.48387095,0.41666666,0.65,0.375,0.6086956,,0.31707317,0.5555556,0.5833333,0.65384614,0.6666667,0.5714286,0.625,0.5,0.37931034,0.47619048,0.53333336,0.61538464,0.7083333,0.6315789,1.0,0.5714286,0.5,0.75,0.75,168.0,0.48809522
valentina,0.2647059,0.4642857,0.43089432,0.4375,0.42708334,0.40186915,0.4574468,0.4526316,0.58536583,0.46341464,0.42424244,0.5,0.4402174,0.4463768,0.4551282,0.4181818,0.47058824,0.4935065,0.53333336,0.3846154,0.475,0.40650406,0.45695364,0.41899443,0.5206612,0.4869565,0.43333334,0.54761904,0.68292683,0.5,0.60784316,0.44827586,0.51778656,0.516129,0.39130434,0.5151515,0.5272727,0.45341614,0.5,0.66071427,0.4939759,0.519802,0.55140185,0.67741936,0.6511628,0.5714286,0.6753247,0.5483871,1078.0,0.48423004
lolita,0.33333334,0.44444445,0.5,0.41666666,0.42857143,0.5,0.3,0.5,0.29166666,1.0,0.8333333,0.5882353,0.54545456,0.46153846,0.46153846,0.45454547,0.6,0.42857143,0.6666667,0.54545456,0.47826087,0.5217391,0.23076923,0.5277778,0.375,0.4347826,0.4,0.42857143,0.44444445,0.39215687,,0.375,0.5483871,0.41935483,0.44444445,0.39130434,0.33333334,0.47619048,0.4375,0.5319149,0.54545456,0.5483871,0.4871795,1.0,0.7368421,0.75,0.6,1.0,218.0,0.48165137
ruby,1.0,1.0,0.37037036,0.41666666,0.36842105,0.68421054,0.5555556,0.3,0.6666667,0.6666667,0.4,0.53846157,0.53846157,0.40625,0.5,0.32,0.375,0.36363637,0.25,0.5,0.4,0.41666666,0.7,0.6666667,0.5,0.45454547,0.4,0.28,0.41666666,0.55172414,0.625,,0.5217391,0.6875,0.2,0.5625,1.0,0.2,0.5833333,0.4375,0.3888889,0.5,0.5,0.4,0.5833333,0.5,0.6666667,0.625,144.0,0.47916666
pharsa,0.2857143,0.29411766,0.3875,0.45588234,0.375,0.52380955,0.25,0.44705883,0.375,0.2777778,0.6666667,0.33333334,0.46902654,0.4679487,0.46153846,0.44444445,0.46875,0.42857143,0.6086956,0.46938777,0.43076923,0.6385542,0.4318182,0.5681818,0.4090909,0.4864865,0.54545456,0.36792454,0.34615386,0.48221344,0.4516129,0.47826087,,0.5192308,0.55,0.56962025,0.47368422,0.60714287,0.45762712,0.45794392,0.5873016,0.60194176,0.5176471,0.6666667,0.47826087,0.5625,0.55,0.6086956,596.0,0.47818792
melissa,0.0,0.41666666,0.44230768,0.4,0.30952382,0.4,0.57894737,0.47457626,0.26666668,0.0,0.6666667,0.5555556,0.50980395,0.53763443,0.52,0.49019608,0.54545456,0.5,0.25,0.53333336,0.36666667,0.44827586,0.3846154,0.46153846,0.27272728,0.25,0.42857143,0.49122807,0.33333334,0.48387095,0.58064514,0.3125,0.48076922,,0.6666667,0.5,0.6,0.4473684,0.4878049,0.5294118,0.6923077,0.44230768,0.53846157,,0.6,0.6363636,0.0,1.0,304.0,0.47697368
ling,0.4,0.25,0.4347826,0.5555556,0.47058824,0.0,0.5714286,0.36842105,0.5714286,0.0,1.0,0.26666668,0.39285713,0.44117647,0.18181819,0.5,0.5,0.6666667,0.42857143,0.4,0.5555556,0.6666667,0.5,0.46666667,1.0,0.3,0.75,0.47368422,0.42857143,0.6086956,0.5555556,0.8,0.45,0.33333334,,0.42105263,0.6666667,0.46153846,0.73333335,0.5263158,0.375,0.36363637,0.54545456,1.0,0.6666667,0.5,0.5,0.5,122.0,0.47540984
arlott,0.46666667,0.4375,0.3880597,0.46341464,0.45901638,0.37777779,0.40625,0.5058824,0.37931034,0.5714286,0.46153846,0.537037,0.4814815,0.46875,0.4262295,0.3442623,0.42857143,0.46153846,0.45454547,0.5609756,0.39130434,0.45762712,0.4827586,0.4680851,0.5,0.48979592,0.3846154,0.52380955,0.375,0.4848485,0.6086956,0.4375,0.43037975,0.5,0.57894737,,0.5,0.625,0.5,0.56,0.42857143,0.57894737,0.51724136,0.4,0.6666667,0.53846157,0.2857143,0.35714287,460.0,0.47391304
minotaur,0.25,0.125,0.4074074,0.5,0.30769232,0.4814815,0.4375,0.46153846,0.5714286,0.6666667,0.3809524,0.22222222,0.4375,0.39285713,0.52272725,0.47368422,0.61904764,0.36842105,0.6923077,0.5714286,0.51282054,0.47826087,0.3529412,0.21875,0.5833333,0.5,0.4,0.5,0.5,0.47272727,0.6666667,0.0,0.5263158,0.4,0.33333334,0.5,,0.56,0.64705884,0.59375,0.5652174,0.53125,0.6315789,0.625,0.11111111,0.75,0.5833333,0.625,222.0,0.47297296
brody,0.3,0.5,0.35820895,0.33333334,0.45714286,0.33333334,0.3902439,0.51111114,0.71428573,0.37931034,0.42857143,0.5,0.4,0.44036698,0.44262296,0.5,0.37037036,0.3653846,0.3611111,0.375,0.41463414,0.59615386,0.25531915,0.5533981,0.5,0.4651163,0.7,0.48192772,0.62068963,0.54658383,0.52380955,0.8,0.39285713,0.55263156,0.53846157,0.375,0.44,,0.5,0.5609756,0.5416667,0.44927537,0.6511628,0.4,0.5833333,0.33333334,0.61290324,0.39130434,445.0,0.46966293
lancelot,0.36363637,0.16666667,0.4347826,0.43589744,0.4722222,0.34210527,0.37931034,0.37777779,0.33333334,0.4090909,0.42857143,0.41666666,0.3846154,0.48466256,0.2888889,0.4864865,0.2647059,0.375,0.33333334,0.51724136,0.52272725,0.37931034,0.34,0.46341464,0.26923078,0.575,0.3529412,0.40677965,0.52380955,0.5,0.5625,0.41666666,0.5423729,0.5121951,0.26666668,0.5,0.3529412,0.5,,0.4864865,0.5,0.5416667,0.5319149,0.375,0.36842105,0.5,0.5185185,0.52,396.0,0.45454547
grock,0.3846154,0.33333334,0.42105263,0.3559322,0.41935483,0.43333334,0.4,0.33333334,0.39130434,0.39130434,0.35714287,0.38709676,0.42391303,0.4099379,0.42857143,0.42465752,0.5151515,0.5744681,0.3939394,0.4680851,0.39130434,0.48214287,0.5344828,0.43010753,0.4857143,0.5254237,0.6,0.4659091,0.46666667,0.3392857,0.4680851,0.5625,0.5420561,0.47058824,0.47368422,0.44,0.40625,0.4390244,0.5135135,,0.47619048,0.52747256,0.5254237,0.75,0.2857143,0.55,0.4814815,0.5833333,494.0,0.4534413
khufra,0.3846154,0.2857143,0.4074074,0.3809524,0.35714287,0.34042552,0.43137255,0.3125,0.3846154,0.33333334,0.44444445,0.3,0.46938777,0.4716981,0.33333334,0.3382353,0.46938777,0.4074074,0.33333334,0.40816328,0.36666667,0.47619048,0.4347826,0.5681818,0.5,0.4516129,0.5555556,0.47619048,0.3846154,0.5060241,0.45454547,0.6111111,0.41269842,0.30769232,0.625,0.5714286,0.4347826,0.45833334,0.5,0.52380955,,0.44444445,0.5283019,0.125,0.73913044,0.5714286,0.55,0.5263158,453.0,0.45253864
martis,0.0952381,0.25,0.38372093,0.41666666,0.36842105,0.33870968,0.40677965,0.390625,0.24324325,0.3,0.45833334,0.42592594,0.45588234,0.45070422,0.4939759,0.43103448,0.5185185,0.3877551,0.42553192,0.54,0.5,0.43939394,0.43835616,0.48039216,0.46774194,0.3962264,0.52,0.45112783,0.29166666,0.48019803,0.4516129,0.5,0.39805827,0.5576923,0.6363636,0.42105263,0.46875,0.5507246,0.45833334,0.47252747,0.5555556,,0.5857143,0.5294118,0.4642857,0.44444445,0.5925926,0.5555556,638.0,0.44984326
lapu-lapu,0.42857143,0.33333334,0.36206895,0.45945945,0.44117647,0.2857143,0.33333334,0.46268657,0.25,0.18181819,0.6,0.43243244,0.46341464,0.42962962,0.4375,0.4814815,0.28125,0.33333334,0.21052632,0.39285713,0.46938777,0.49333334,0.41379312,0.56626505,0.3846154,0.42857143,0.6,0.4225352,0.36842105,0.44859812,0.51282054,0.5,0.48235294,0.46153846,0.45454547,0.4827586,0.36842105,0.3488372,0.4680851,0.47457626,0.4716981,0.41428572,,0.25,0.48,0.46666667,0.5,0.5,434.0,0.44470045
rafaela,0.0,0.0,0.25,0.42857143,0.0,0.42857143,0.6,0.33333334,0.375,0.5,0.4,0.33333334,1.0,0.33333334,0.33333334,0.25,0.4,0.47826087,0.7058824,0.0,0.375,0.45454547,0.51724136,0.4,0.5714286,0.5833333,,0.64285713,0.0,0.32258064,0.0,0.6,0.33333334,,0.0,0.6,0.375,0.6,0.625,0.25,0.875,0.47058824,0.75,,0.6666667,0.0,0.375,0.33333334,117.0,0.44444445
benedetta,0.42857143,0.625,0.2777778,0.3529412,0.27027026,0.6,0.29166666,0.4814815,0.5,0.2,0.72727275,0.33333334,0.4054054,0.27906978,0.7058824,0.36363637,0.35714287,0.53333336,0.36363637,0.4,0.5652174,0.46875,0.5714286,0.35897437,0.5714286,0.3125,0.5,0.48387095,0.42857143,0.3488372,0.2631579,0.41666666,0.5217391,0.4,0.33333334,0.33333334,0.8888889,0.41666666,0.6315789,0.71428573,0.26086956,0.53571427,0.52,0.33333334,,0.4,0.625,,195.0,0.44102564
harith,0.0,1.0,0.41666666,0.4,0.3529412,,0.2857143,0.45454547,0.0,0.6666667,0.5714286,0.3846154,0.47368422,0.44444445,0.375,0.42857143,0.5,0.75,0.33333334,0.7,0.11111111,0.53333336,0.5714286,0.44,0.44444445,0.41666666,0.0,0.45454547,0.5,0.42857143,0.25,0.5,0.4375,0.36363637,0.5,0.46153846,0.25,0.6666667,0.5,0.45,0.42857143,0.5555556,0.53333336,1.0,0.6,,0.25,0.6666667,109.0,0.44036698
angela,0.30769232,0.0,0.60714287,0.5,0.25,0.4090909,0.4117647,0.5405405,0.35714287,0.27272728,0.29032257,0.4,0.4,0.3888889,0.3478261,0.8333333,0.4,0.42105263,0.46153846,0.45454547,0.625,0.57894737,0.4090909,0.41025642,0.3902439,0.26666668,0.75,0.36363637,0.25,0.32467532,0.4,0.33333334,0.45,1.0,0.5,0.71428573,0.41666666,0.38709676,0.4814815,0.5185185,0.45,0.4074074,0.5,0.625,0.375,0.75,,0.42105263,234.0,0.43162394
uranus,0.2857143,0.5,0.36,0.1764706,0.33333334,0.21428572,0.25,0.33333334,0.33333334,0.6,0.5,0.33333334,0.33333334,0.44,0.45454547,0.4,0.6,0.37037036,0.85714287,0.33333334,0.6666667,0.26666668,0.44,0.34146342,0.2,0.25,0.25,0.42105263,0.25,0.4516129,0.0,0.375,0.39130434,0.0,0.5,0.64285713,0.375,0.6086956,0.48,0.41666666,0.47368422,0.44444445,0.5,0.6666667,,0.33333334,0.57894737,,163.0,0.41717792
